company_name,opportunity_title,function,seniority,year,outcome,notes,closed_date,company_stage_at_placement,geo,candidate_name,opportunity_owner,service_type
8x8,8x8 - VP Engineering,Engineering,VP,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Boris Strongin; owner=Sandy Ma; service=Retained,2017-06-02T00:00:00,Public,Bay Area,Boris Strongin,Sandy Ma,Retained
8x8,8x8 - VP Global Infrastructure & Virtual Office DevOps,DevOps,VP,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Stephane Fourdrinier; owner=Sandy Ma; service=Bluebird,2017-10-16T00:00:00,Public,Bay Area,Stephane Fourdrinier,Sandy Ma,Bluebird
8x8,8x8 - Sr Director of Data Analytics and Machine Learning,Data/ML/AI,Director,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Manu Mukerji; owner=Sandy Ma; service=Retained,2017-11-17T00:00:00,Public,Bay Area,Manu Mukerji,Sandy Ma,Retained
8x8,"8x8 - Sr. Dir Eng, Soft Phone",Engineering,Director,2018,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Anoop Suri; owner=Sandy Ma; service=Retained,2018-08-02T00:00:00,Public,Bay Area,Anoop Suri,Sandy Ma,Retained
A Place for Mom,A Place for Mom - CTO,Engineering,CXO,2024,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Suzy Julius; owner=John Twamley; service=Retained,2024-01-16T00:00:00,PE-Backed,New York,Suzy Julius,John Twamley,Retained
A Place for Mom,A Place for Mom - CPO,Product Management,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Colorado; candidate=Nidhin George; owner=Megan Sleeper; service=Retained,2026-04-06T00:00:00,PE-Backed,Colorado,Nidhin George,Megan Sleeper,Retained
A Place for Mom,A Place For Mom - Confidential CTO,Engineering,CXO,2026,Placement,stage_at_placement=PE-Backed; geo=New York; candidate=Jason Conley; owner=Megan Sleeper; service=Retained,2026-07-14T00:00:00,PE-Backed,New York,Jason Conley,Megan Sleeper,Retained
ABOUT YOU,About You - VP Tech & Product,Engineering,VP,2022,Placement,stage_at_placement=Public; geo=Europe; candidate=Greg Chan; owner=Myriam Vacher; service=Retained,2022-12-01T00:00:00,Public,Europe,Greg Chan,Myriam Vacher,Retained
ABOUT YOU,About You - VP Tech & Product,Engineering,VP,2022,Placement,stage_at_placement=Public; geo=Europe; candidate=Sergio Sola; owner=Myriam Vacher; service=Retained,2022-12-01T00:00:00,Public,Europe,Sergio Sola,Myriam Vacher,Retained
ABOUT YOU,"ABOUT YOU - Director of Product, SCAYLE",Product Management,Director,2023,Placement,stage_at_placement=Public; geo=Europe; candidate=Marina Resgalla Fernandes; owner=Vaiva Uryzaj; service=Retained,2023-11-24T00:00:00,Public,Europe,Marina Resgalla Fernandes,Vaiva Uryzaj,Retained
